Code 1,Code Description Text,Full Description text,length
M4727,OTHER SPONDYLOSIS WITH RADICULOPATHY (LUMBOSACRAL),OTHER SPONDYLOSIS WITH RADICULOPATHY (LUMBOSACRAL),5
M4728,OTHER SPONDYLOSIS WITH RADICULOPATHY (SACRAL/SACROCOCCYGEAL),OTHER SPONDYLOSIS WITH RADICULOPATHY (SACRAL/SACROCOCCYGEAL),5
M4729,OTHER SPONDYLOSIS WITH RADICULOPATHY (SITE UNSPECIFIED),OTHER SPONDYLOSIS WITH RADICULOPATHY (SITE UNSPECIFIED),5
M478,OTHER SPONDYLOSIS,OTHER SPONDYLOSIS,4
M4780,OTHER SPONDYLOSIS (MULTIPLE/SPINE),OTHER SPONDYLOSIS (MULTIPLE/SPINE),5
M4781,OTHER SPONDYLOSIS (OCCIPITO-ATLANTO-AXIAL),OTHER SPONDYLOSIS (OCCIPITO-ATLANTO-AXIAL),5
M4782,OTHER SPONDYLOSIS (CERVICAL),OTHER SPONDYLOSIS (CERVICAL),5
M4783,OTHER SPONDYLOSIS (CERVICOTHORACIC),OTHER SPONDYLOSIS (CERVICOTHORACIC),5
M4784,OTHER SPONDYLOSIS (THORACIC),OTHER SPONDYLOSIS (THORACIC),5
M4785,OTHER SPONDYLOSIS (THORACOLUMBAR),OTHER SPONDYLOSIS (THORACOLUMBAR),5
M4786,OTHER SPONDYLOSIS (LUMBAR),OTHER SPONDYLOSIS (LUMBAR),5
M4787,OTHER SPONDYLOSIS (LUMBOSACRAL),OTHER SPONDYLOSIS (LUMBOSACRAL),5
M4788,OTHER SPONDYLOSIS (SACRAL/SACROCOCCYGEAL),OTHER SPONDYLOSIS (SACRAL/SACROCOCCYGEAL),5
M4789,OTHER SPONDYLOSIS (SITE UNSPECIFIED),OTHER SPONDYLOSIS (SITE UNSPECIFIED),5
M479,"SPONDYLOSIS, UNSPECIFIED","SPONDYLOSIS, UNSPECIFIED",4
M4790,"SPONDYLOSIS, UNSPECIFIED (MULTIPLE/SPINE)","SPONDYLOSIS, UNSPECIFIED (MULTIPLE/SPINE)",5
M4791,"SPONDYLOSIS, UNSPECIFIED (OCCIPITO-ATLANTO-AXIAL)","SPONDYLOSIS, UNSPECIFIED (OCCIPITO-ATLANTO-AXIAL)",5
M4792,"SPONDYLOSIS, UNSPECIFIED (CERVICAL)","SPONDYLOSIS, UNSPECIFIED (CERVICAL)",5
M4793,"SPONDYLOSIS, UNSPECIFIED (CERVICOTHORACIC)","SPONDYLOSIS, UNSPECIFIED (CERVICOTHORACIC)",5
M4794,"SPONDYLOSIS, UNSPECIFIED (THORACIC)","SPONDYLOSIS, UNSPECIFIED (THORACIC)",5
M4795,"SPONDYLOSIS, UNSPECIFIED (THORACOLUMBAR)","SPONDYLOSIS, UNSPECIFIED (THORACOLUMBAR)",5
M4796,"SPONDYLOSIS, UNSPECIFIED (LUMBAR)","SPONDYLOSIS, UNSPECIFIED (LUMBAR)",5
M4797,"SPONDYLOSIS, UNSPECIFIED (LUMBOSACRAL)","SPONDYLOSIS, UNSPECIFIED (LUMBOSACRAL)",5
M4798,"SPONDYLOSIS, UNSPECIFIED (SACRAL/SACROCOCCYGEAL)","SPONDYLOSIS, UNSPECIFIED (SACRAL/SACROCOCCYGEAL)",5
M4799,"SPONDYLOSIS, UNSPECIFIED (SITE UNSPECIFIED)","SPONDYLOSIS, UNSPECIFIED (SITE UNSPECIFIED)",5
M48,OTHER SPONDYLOPATHIES,OTHER SPONDYLOPATHIES,3
M480,SPINAL STENOSIS,SPINAL STENOSIS,4
M4800,SPINAL STENOSIS (MULTIPLE/SPINE),SPINAL STENOSIS (MULTIPLE/SPINE),5
M4801,SPINAL STENOSIS (OCCIPITO-ATLANTO-AXIAL),SPINAL STENOSIS (OCCIPITO-ATLANTO-AXIAL),5
M4802,SPINAL STENOSIS (CERVICAL),SPINAL STENOSIS (CERVICAL),5
M4803,SPINAL STENOSIS (CERVICOTHORACIC),SPINAL STENOSIS (CERVICOTHORACIC),5
M4804,SPINAL STENOSIS (THORACIC),SPINAL STENOSIS (THORACIC),5
M4805,SPINAL STENOSIS (THORACOLUMBAR),SPINAL STENOSIS (THORACOLUMBAR),5
M4806,SPINAL STENOSIS (LUMBAR),SPINAL STENOSIS (LUMBAR),5
M4807,SPINAL STENOSIS (LUMBOSACRAL),SPINAL STENOSIS (LUMBOSACRAL),5
M4808,SPINAL STENOSIS (SACRAL/SACROCOCCYGEAL),SPINAL STENOSIS (SACRAL/SACROCOCCYGEAL),5
M4809,SPINAL STENOSIS (SITE UNSPECIFIED),SPINAL STENOSIS (SITE UNSPECIFIED),5
M481,ANKYLOSING HYPEROSTOSIS [FORESTIER],ANKYLOSING HYPEROSTOSIS [FORESTIER],4
M4810,ANKYLOSING HYPEROSTOSIS [FORESTIER] (MULTIPLE/SPINE),ANKYLOSING HYPEROSTOSIS [FORESTIER] (MULTIPLE/SPINE),5
M4811,ANKYLOSING HYPEROSTOSIS [FORESTIER] (OCCIPITO-ATLANTO-AXIAL),ANKYLOSING HYPEROSTOSIS [FORESTIER] (OCCIPITO-ATLANTO-AXIAL),5
M4812,ANKYLOSING HYPEROSTOSIS [FORESTIER] (CERVICAL),ANKYLOSING HYPEROSTOSIS [FORESTIER] (CERVICAL),5
M4813,ANKYLOSING HYPEROSTOSIS [FORESTIER] (CERVICOTHORACIC),ANKYLOSING HYPEROSTOSIS [FORESTIER] (CERVICOTHORACIC),5
M4814,ANKYLOSING HYPEROSTOSIS [FORESTIER] (THORACIC),ANKYLOSING HYPEROSTOSIS [FORESTIER] (THORACIC),5
M4815,ANKYLOSING HYPEROSTOSIS [FORESTIER] (THORACOLUMBAR),ANKYLOSING HYPEROSTOSIS [FORESTIER] (THORACOLUMBAR),5
M4816,ANKYLOSING HYPEROSTOSIS [FORESTIER] (LUMBAR),ANKYLOSING HYPEROSTOSIS [FORESTIER] (LUMBAR),5
M4817,ANKYLOSING HYPEROSTOSIS [FORESTIER] (LUMBOSACRAL),ANKYLOSING HYPEROSTOSIS [FORESTIER] (LUMBOSACRAL),5
M4818,ANKYLOSING HYPEROSTOSIS [FORESTIER] (SACRAL/SACROCOCCYGEAL),ANKYLOSING HYPEROSTOSIS [FORESTIER] (SACRAL/SACROCOCCYGEAL),5
M4819,ANKYLOSING HYPEROSTOSIS [FORESTIER] (SITE UNSPECIFIED),ANKYLOSING HYPEROSTOSIS [FORESTIER] (SITE UNSPECIFIED),5
M482,KISSING SPINE,KISSING SPINE,4
M4820,KISSING SPINE (MULTIPLE/SPINE),KISSING SPINE (MULTIPLE/SPINE),5
M4821,KISSING SPINE (OCCIPITO-ATLANTO-AXIAL),KISSING SPINE (OCCIPITO-ATLANTO-AXIAL),5
M4822,KISSING SPINE (CERVICAL),KISSING SPINE (CERVICAL),5
M4823,KISSING SPINE (CERVICOTHORACIC),KISSING SPINE (CERVICOTHORACIC),5
M4824,KISSING SPINE (THORACIC),KISSING SPINE (THORACIC),5
M4825,KISSING SPINE (THORACOLUMBAR),KISSING SPINE (THORACOLUMBAR),5
M4826,KISSING SPINE (LUMBAR),KISSING SPINE (LUMBAR),5
M4827,KISSING SPINE (LUMBOSACRAL),KISSING SPINE (LUMBOSACRAL),5
M4828,KISSING SPINE (SACRAL/SACROCOCCYGEAL),KISSING SPINE (SACRAL/SACROCOCCYGEAL),5
M4829,KISSING SPINE (SITE UNSPECIFIED),KISSING SPINE (SITE UNSPECIFIED),5
M483,TRAUMATIC SPONDYLOPATHY,TRAUMATIC SPONDYLOPATHY,4
M4830,TRAUMATIC SPONDYLOPATHY (MULTIPLE/SPINE),TRAUMATIC SPONDYLOPATHY (MULTIPLE/SPINE),5
M4831,TRAUMATIC SPONDYLOPATHY (OCCIPITO-ATLANTO-AXIAL),TRAUMATIC SPONDYLOPATHY (OCCIPITO-ATLANTO-AXIAL),5
M4832,TRAUMATIC SPONDYLOPATHY (CERVICAL),TRAUMATIC SPONDYLOPATHY (CERVICAL),5
M4833,TRAUMATIC SPONDYLOPATHY (CERVICOTHORACIC),TRAUMATIC SPONDYLOPATHY (CERVICOTHORACIC),5
M4834,TRAUMATIC SPONDYLOPATHY (THORACIC),TRAUMATIC SPONDYLOPATHY (THORACIC),5
M4835,TRAUMATIC SPONDYLOPATHY (THORACOLUMBAR),TRAUMATIC SPONDYLOPATHY (THORACOLUMBAR),5
M4836,TRAUMATIC SPONDYLOPATHY (LUMBAR),TRAUMATIC SPONDYLOPATHY (LUMBAR),5
M4837,TRAUMATIC SPONDYLOPATHY (LUMBOSACRAL),TRAUMATIC SPONDYLOPATHY (LUMBOSACRAL),5
M4838,TRAUMATIC SPONDYLOPATHY (SACRAL/SACROCOCCYGEAL),TRAUMATIC SPONDYLOPATHY (SACRAL/SACROCOCCYGEAL),5
M4839,TRAUMATIC SPONDYLOPATHY (SITE UNSPECIFIED),TRAUMATIC SPONDYLOPATHY (SITE UNSPECIFIED),5
M484,FATIGUE FRACTURE OF VERTEBRA,FATIGUE FRACTURE OF VERTEBRA,4
M4840,FATIGUE FRACTURE OF VERTEBRA (MULTIPLE/SPINE),FATIGUE FRACTURE OF VERTEBRA (MULTIPLE/SPINE),5
M4841,FATIGUE FRACTURE OF VERTEBRA (OCCIPITO-ATLANTO-AXIAL),FATIGUE FRACTURE OF VERTEBRA (OCCIPITO-ATLANTO-AXIAL),5
M4842,FATIGUE FRACTURE OF VERTEBRA (CERVICAL),FATIGUE FRACTURE OF VERTEBRA (CERVICAL),5
M4843,FATIGUE FRACTURE OF VERTEBRA (CERVICOTHORACIC),FATIGUE FRACTURE OF VERTEBRA (CERVICOTHORACIC),5
M4844,FATIGUE FRACTURE OF VERTEBRA (THORACIC),FATIGUE FRACTURE OF VERTEBRA (THORACIC),5
M4845,FATIGUE FRACTURE OF VERTEBRA (THORACOLUMBAR),FATIGUE FRACTURE OF VERTEBRA (THORACOLUMBAR),5
M4846,FATIGUE FRACTURE OF VERTEBRA (LUMBAR),FATIGUE FRACTURE OF VERTEBRA (LUMBAR),5
M4847,FATIGUE FRACTURE OF VERTEBRA (LUMBOSACRAL),FATIGUE FRACTURE OF VERTEBRA (LUMBOSACRAL),5
M4848,FATIGUE FRACTURE OF VERTEBRA (SACRAL/SACROCOCCYGEAL),FATIGUE FRACTURE OF VERTEBRA (SACRAL/SACROCOCCYGEAL),5
M4849,FATIGUE FRACTURE OF VERTEBRA (SITE UNSPECIFIED),FATIGUE FRACTURE OF VERTEBRA (SITE UNSPECIFIED),5
M485,"COLLAPSED VERTEBRA, NOT ELSEWHERE CLASSIFIED","COLLAPSED VERTEBRA, NOT ELSEWHERE CLASSIFIED",4
M4850,"COLLAPSED VERTEBRA, NOT ELSEWHERE CLASSIFIED (MULTIPLE/SPINE)","COLLAPSED VERTEBRA, NOT ELSEWHERE CLASSIFIED (MULTIPLE/SPINE)",5
M4851,"COLLAPSED VERTEBRA, NOT ELSEWHERE CLASSIFIED (OCCIPITO-ATLANTO-AXIAL)","COLLAPSED VERTEBRA, NOT ELSEWHERE CLASSIFIED (OCCIPITO-ATLANTO-AXIAL)",5
M4852,"COLLAPSED VERTEBRA, NOT ELSEWHERE CLASSIFIED (CERVICAL)","COLLAPSED VERTEBRA, NOT ELSEWHERE CLASSIFIED (CERVICAL)",5
M4853,"COLLAPSED VERTEBRA, NOT ELSEWHERE CLASSIFIED (CERVICOTHORACIC)","COLLAPSED VERTEBRA, NOT ELSEWHERE CLASSIFIED (CERVICOTHORACIC)",5
M4854,"COLLAPSED VERTEBRA, NOT ELSEWHERE CLASSIFIED (THORACIC)","COLLAPSED VERTEBRA, NOT ELSEWHERE CLASSIFIED (THORACIC)",5
M4855,"COLLAPSED VERTEBRA, NOT ELSEWHERE CLASSIFIED (THORACOLUMBAR)","COLLAPSED VERTEBRA, NOT ELSEWHERE CLASSIFIED (THORACOLUMBAR)",5
M4856,"COLLAPSED VERTEBRA, NOT ELSEWHERE CLASSIFIED (LUMBAR)","COLLAPSED VERTEBRA, NOT ELSEWHERE CLASSIFIED (LUMBAR)",5
M4857,"COLLAPSED VERTEBRA, NOT ELSEWHERE CLASSIFIED (LUMBOSACRAL)","COLLAPSED VERTEBRA, NOT ELSEWHERE CLASSIFIED (LUMBOSACRAL)",5
M4858,"COLLAPSED VERTEBRA, NOT ELSEWHERE CLASSIFIED (SACRAL/SACROCOCCYGEAL)","COLLAPSED VERTEBRA, NOT ELSEWHERE CLASSIFIED (SACRAL/SACROCOCCYGEAL)",5
M4859,"COLLAPSED VERTEBRA, NOT ELSEWHERE CLASSIFIED (SITE UNSPECIFIED)","COLLAPSED VERTEBRA, NOT ELSEWHERE CLASSIFIED (SITE UNSPECIFIED)",5
M488,OTHER SPECIFIED SPONDYLOPATHIES,OTHER SPECIFIED SPONDYLOPATHIES,4
M4880,OTHER SPECIFIED SPONDYLOPATHIES (MULTIPLE/SPINE),OTHER SPECIFIED SPONDYLOPATHIES (MULTIPLE/SPINE),5
M4881,OTHER SPECIFIED SPONDYLOPATHIES (OCCIPITO-ATLANTO-AXIAL),OTHER SPECIFIED SPONDYLOPATHIES (OCCIPITO-ATLANTO-AXIAL),5
M4882,OTHER SPECIFIED SPONDYLOPATHIES (CERVICAL),OTHER SPECIFIED SPONDYLOPATHIES (CERVICAL),5
M4883,OTHER SPECIFIED SPONDYLOPATHIES (CERVICOTHORACIC),OTHER SPECIFIED SPONDYLOPATHIES (CERVICOTHORACIC),5
M4884,OTHER SPECIFIED SPONDYLOPATHIES (THORACIC),OTHER SPECIFIED SPONDYLOPATHIES (THORACIC),5
M4885,OTHER SPECIFIED SPONDYLOPATHIES (THORACOLUMBAR),OTHER SPECIFIED SPONDYLOPATHIES (THORACOLUMBAR),5
M4886,OTHER SPECIFIED SPONDYLOPATHIES (LUMBAR),OTHER SPECIFIED SPONDYLOPATHIES (LUMBAR),5
M4887,OTHER SPECIFIED SPONDYLOPATHIES (LUMBOSACRAL),OTHER SPECIFIED SPONDYLOPATHIES (LUMBOSACRAL),5
M4888,OTHER SPECIFIED SPONDYLOPATHIES (SACRAL/SACROCOCCYGEAL),OTHER SPECIFIED SPONDYLOPATHIES (SACRAL/SACROCOCCYGEAL),5
M4889,OTHER SPECIFIED SPONDYLOPATHIES (SITE UNSPECIFIED),OTHER SPECIFIED SPONDYLOPATHIES (SITE UNSPECIFIED),5
M489,"SPONDYLOPATHY, UNSPECIFIED","SPONDYLOPATHY, UNSPECIFIED",4
M4890,"SPONDYLOPATHY, UNSPECIFIED (MULTIPLE/SPINE)","SPONDYLOPATHY, UNSPECIFIED (MULTIPLE/SPINE)",5
M4891,"SPONDYLOPATHY, UNSPECIFIED (OCCIPITO-ATLANTO-AXIAL)","SPONDYLOPATHY, UNSPECIFIED (OCCIPITO-ATLANTO-AXIAL)",5
M4892,"SPONDYLOPATHY, UNSPECIFIED (CERVICAL)","SPONDYLOPATHY, UNSPECIFIED (CERVICAL)",5
M4893,"SPONDYLOPATHY, UNSPECIFIED (CERVICOTHORACIC)","SPONDYLOPATHY, UNSPECIFIED (CERVICOTHORACIC)",5
M4894,"SPONDYLOPATHY, UNSPECIFIED (THORACIC)","SPONDYLOPATHY, UNSPECIFIED (THORACIC)",5
M4895,"SPONDYLOPATHY, UNSPECIFIED (THORACOLUMBAR)","SPONDYLOPATHY, UNSPECIFIED (THORACOLUMBAR)",5
M4896,"SPONDYLOPATHY, UNSPECIFIED (LUMBAR)","SPONDYLOPATHY, UNSPECIFIED (LUMBAR)",5
M4897,"SPONDYLOPATHY, UNSPECIFIED (LUMBOSACRAL)","SPONDYLOPATHY, UNSPECIFIED (LUMBOSACRAL)",5
M4898,"SPONDYLOPATHY, UNSPECIFIED (SACRAL/SACROCOCCYGEAL)","SPONDYLOPATHY, UNSPECIFIED (SACRAL/SACROCOCCYGEAL)",5
M4899,"SPONDYLOPATHY, UNSPECIFIED (SITE UNSPECIFIED)","SPONDYLOPATHY, UNSPECIFIED (SITE UNSPECIFIED)",5
M49,SPONDYLOPATHIES IN DISEASES CLASSIFIED ELSEWHERE,SPONDYLOPATHIES IN DISEASES CLASSIFIED ELSEWHERE,3
M490,TUBERCULOSIS OF SPINE,TUBERCULOSIS OF SPINE,4
M4900,"TUBERCULOSIS OF SPINE, MULTIPLE SITES IN SPINE","TUBERCULOSIS OF SPINE, MULTIPLE SITES IN SPINE",5
M4901,"TUBERCULOSIS OF SPINE, OCCIPITO-ATLANTO-AXIAL REGION","TUBERCULOSIS OF SPINE, OCCIPITO-ATLANTO-AXIAL REGION",5
M4902,"TUBERCULOSIS OF SPINE, CERVICAL REGION","TUBERCULOSIS OF SPINE, CERVICAL REGION",5
M4903,"TUBERCULOSIS OF SPINE, CARVICOTHORACIC REGION","TUBERCULOSIS OF SPINE, CARVICOTHORACIC REGION",5
M4904,"TUBERCULOSIS OF SPINE, THORACIC REGION","TUBERCULOSIS OF SPINE, THORACIC REGION",5
M4905,"TUBERCULOSIS OF SPINE, THORACOLUMBAR REGION","TUBERCULOSIS OF SPINE, THORACOLUMBAR REGION",5
M4906,"TUBERCULOSIS OF SPINE, LUMBAR REGION","TUBERCULOSIS OF SPINE, LUMBAR REGION",5
M4907,"TUBERCULOSIS OF SPINE, LUMBOSACRIAL REGION","TUBERCULOSIS OF SPINE, LUMBOSACRIAL REGION",5
M4908,"TUBERCULOSIS OF SPINE, SACRAL AND SACROCOCCYGEAL REGION","TUBERCULOSIS OF SPINE, SACRAL AND SACROCOCCYGEAL REGION",5
M4909,"TUBERCULOSIS OF SPINE, SITE UNSPECIFIED","TUBERCULOSIS OF SPINE, SITE UNSPECIFIED",5
M491,BRUCELLA SPONDYLITIS,BRUCELLA SPONDYLITIS,4
M4910,"BRUCELLA SPONDYLITIS, MULTI[PLE SITES IN SPINE","BRUCELLA SPONDYLITIS, MULTI[PLE SITES IN SPINE",5
M4911,"BRUCELLA SPONDYLITIS, OCCIPITO-ATLANTO-AXIAL REGION","BRUCELLA SPONDYLITIS, OCCIPITO-ATLANTO-AXIAL REGION",5
M4912,"BRUCELLA SPONDYLITIS, CERVICAL REGION","BRUCELLA SPONDYLITIS, CERVICAL REGION",5
M4913,"BRUCELLA SPONDYLITIS, CERVICOTHORACIC REGION","BRUCELLA SPONDYLITIS, CERVICOTHORACIC REGION",5
M4914,"BRUCELLA SPONDYLITIS, THORACIC REGION","BRUCELLA SPONDYLITIS, THORACIC REGION",5
M4915,"BRUCELLA SPONDYLITIS, THORACOLUMBAR REGION","BRUCELLA SPONDYLITIS, THORACOLUMBAR REGION",5
M4916,"BRUCELLA SPONDYLITIS, LUMBAR REGION","BRUCELLA SPONDYLITIS, LUMBAR REGION",5
M4917,"BRUCELLA SPONDYLITIS, LUMBOSACRAL REGION","BRUCELLA SPONDYLITIS, LUMBOSACRAL REGION",5
M4918,"BRUCELLA SPONDYLITIS, SACRAL AND SACROCOCCYGEAL REGION","BRUCELLA SPONDYLITIS, SACRAL AND SACROCOCCYGEAL REGION",5
M4919,"BRUCELLA SPONDYLITIS, SITE UNSPECIFIED","BRUCELLA SPONDYLITIS, SITE UNSPECIFIED",5
M492,ENTEROBACTERIAL SPONDYLITIS,ENTEROBACTERIAL SPONDYLITIS,4
M4920,"ENTEROBACTERIAL SPONDYLITIS, MULTIPLE SITES IN SPINE","ENTEROBACTERIAL SPONDYLITIS, MULTIPLE SITES IN SPINE",5
M4921,"ENTEROBACTERIAL SPONDYLITIS, OCCIPITO-ATLANT-AXIAL REGION","ENTEROBACTERIAL SPONDYLITIS, OCCIPITO-ATLANT-AXIAL REGION",5
M4922,"ENTEROBACTERIAL SPONDYLITIS, CARVICAL REGION","ENTEROBACTERIAL SPONDYLITIS, CARVICAL REGION",5
M4923,"ENTEROBACTERIAL SPONDYLITIS, CARVICOTHORACIC REGION","ENTEROBACTERIAL SPONDYLITIS, CARVICOTHORACIC REGION",5
M4924,"ENTEROBACTERIAL SPONDYLITIS, THORACIC REGION","ENTEROBACTERIAL SPONDYLITIS, THORACIC REGION",5
M4925,"ENTEROBACTERIAL SPONDYLITIS, THORARCOLUMBAR REGION","ENTEROBACTERIAL SPONDYLITIS, THORARCOLUMBAR REGION",5
M4926,"ENTEROBACTERIAL SPONDYLITIS, LUMBAR REGION","ENTEROBACTERIAL SPONDYLITIS, LUMBAR REGION",5
M4927,"ENTEROBACTERIAL SPONDYLITIS, LUMBOSACRAL REGION","ENTEROBACTERIAL SPONDYLITIS, LUMBOSACRAL REGION",5
M4928,"ENTEROBACTERIAL SPONDYLITIS, SACRAL AND SACROCOCCYGEAL REGION","ENTEROBACTERIAL SPONDYLITIS, SACRAL AND SACROCOCCYGEAL REGION",5
M4929,"ENTEROBACTERIAL SPONDYLITIS, SITE UNSPECIFIED","ENTEROBACTERIAL SPONDYLITIS, SITE UNSPECIFIED",5
M493,SPONDYLOPATHY IN OTHER INFECTIOUS/PARASITIC DISEASES CLASSIFIED ELSEWHERE,SPONDYLOPATHY IN OTHER INFECTIOUS/PARASITIC DISEASES CLASSIFIED ELSEWHERE,4
M4930,"SPONDYLOPATHY IN OTH INFECT + PARAS DIS CLASS EWHERE, MULTI SITE IN SPINE","SPONDYLOPATHY IN OTH INFECT + PARAS DIS CLASS EWHERE, MULTI SITE IN SPINE",5
M4931,"SPONDYLOPATHY IN OTH INFECT + PARAS DIS CLASS EWHERE, OCC-ATL-AXIAL REG","SPONDYLOPATHY IN OTH INFECT + PARAS DIS CLASS EWHERE, OCC-ATL-AXIAL REG",5
M4932,"SPONDYLOPATHY IN OTH INFECT + PARASITIC DIS CLASS EWHERE, CERVICAL REG","SPONDYLOPATHY IN OTH INFECT + PARASITIC DIS CLASS EWHERE, CERVICAL REG",5
M4933,"SPONDYLOPATHY IN OTH INFECT + PARAS DIS CLASS EWHERE, CARVIOTHORACIC REG","SPONDYLOPATHY IN OTH INFECT + PARAS DIS CLASS EWHERE, CARVIOTHORACIC REG",5
M4934,"SPONDYLOPATHY IN OTHER INFECT + PARASITIC DIS CLASS EWHERE, THORACIC REG","SPONDYLOPATHY IN OTHER INFECT + PARASITIC DIS CLASS EWHERE, THORACIC REG",5
M4935,"SPONDYLOPATHY IN OTH INFECT + PARAS DIS CLASS EWHERE, THORACOLUMBAR REG","SPONDYLOPATHY IN OTH INFECT + PARAS DIS CLASS EWHERE, THORACOLUMBAR REG",5
M4936,"SPONDYLOPATHY IN OTH INFECTIOUS + PARASITIC DIS CLASS EWHERE, LUMBAR REG","SPONDYLOPATHY IN OTH INFECTIOUS + PARASITIC DIS CLASS EWHERE, LUMBAR REG",5
M4937,"SPONDYLOPATHY IN OTH INFECT + PARASITIC DIS CLASS EWHERE, LUMBOSACRAL REG","SPONDYLOPATHY IN OTH INFECT + PARASITIC DIS CLASS EWHERE, LUMBOSACRAL REG",5
M4938,"SPONDYLOPATHY IN OTH INFECT+PARAS DIS CLAS EWHERE, SAC+SACROCOCCYGEAL REG","SPONDYLOPATHY IN OTH INFECT+PARAS DIS CLAS EWHERE, SAC+SACROCOCCYGEAL REG",5
M4939,"SPONDYLOPATHY IN OTH INFECT + PARASITIC DIS CLASS EWHERE, SITE UNSPEC","SPONDYLOPATHY IN OTH INFECT + PARASITIC DIS CLASS EWHERE, SITE UNSPEC",5
M494,NEUROPATHIC SPONDYLOPATHY,NEUROPATHIC SPONDYLOPATHY,4
M4940,"NEUROPATHIC SPONDYLOPATHY, MULTIPLE SITES IN SPINE","NEUROPATHIC SPONDYLOPATHY, MULTIPLE SITES IN SPINE",5
M4941,"NEUROPATHIC SPONDYLOPATHY, OCCIPITO-ATLANTO-AXIAL REGION","NEUROPATHIC SPONDYLOPATHY, OCCIPITO-ATLANTO-AXIAL REGION",5
M4942,"NEUROPATHIC SPONDYLOPATHY, CERVICAL REGION","NEUROPATHIC SPONDYLOPATHY, CERVICAL REGION",5
M4943,"NEUROPATHIC SPONDYLOPATHY, CERVICOTHORACIC REGION","NEUROPATHIC SPONDYLOPATHY, CERVICOTHORACIC REGION",5
M4944,"NEUROPATHIC SPONDYLOPATHY, THORACIC REGION","NEUROPATHIC SPONDYLOPATHY, THORACIC REGION",5
M4945,"NEUROPATHIC SPONDYLOPATHY, THORACOLUMBAR REGION","NEUROPATHIC SPONDYLOPATHY, THORACOLUMBAR REGION",5
M4946,"NEUROPATHIC SPONDYLOPATHY, LUMBAR REGION","NEUROPATHIC SPONDYLOPATHY, LUMBAR REGION",5
M4947,"NEUROPATHIC SPONDYLOPATHY, LUMBOSACRAL REGION","NEUROPATHIC SPONDYLOPATHY, LUMBOSACRAL REGION",5
M4948,"NEUROPATHIC SPONDYLOPATHY, SACRAL AND SACROCOCCYGEAL REGION","NEUROPATHIC SPONDYLOPATHY, SACRAL AND SACROCOCCYGEAL REGION",5
M4949,"NEUROPATHIC SPONDYLOPATHY, SITE UNSPECIFIED","NEUROPATHIC SPONDYLOPATHY, SITE UNSPECIFIED",5
M495,COLLAPSED VERTEBRA IN DISEASES CLASSIFIED ELSEWHERE,COLLAPSED VERTEBRA IN DISEASES CLASSIFIED ELSEWHERE,4
M4950,"COLLAPSED VERTEBRA IN DISEASES CLASSIFIED EWHERE, MULTIPLE SITES IN SPINE","COLLAPSED VERTEBRA IN DISEASES CLASSIFIED EWHERE, MULTIPLE SITES IN SPINE",5
M4951,"COLLAPSED VERTEBRA IN DISEASES CLASSIFIED EWHERE, OCCIPITO-ATL-AXIAL REG","COLLAPSED VERTEBRA IN DISEASES CLASSIFIED EWHERE, OCCIPITO-ATL-AXIAL REG",5
M4952,"COLLAPSED VERTEBRA IN DISEASES CLASSIFIED ELSEWHERE, CERVICAL REGION","COLLAPSED VERTEBRA IN DISEASES CLASSIFIED ELSEWHERE, CERVICAL REGION",5
M4953,"COLLAPSED VERTEBRA IN DISEASES CLASSIFIED ELSEWHERE, CERCICOTHORACIC REG","COLLAPSED VERTEBRA IN DISEASES CLASSIFIED ELSEWHERE, CERCICOTHORACIC REG",5
M4954,"COLLAPSED VERTEBRA IN DISEASES CLASSIFIED ELSEWHERE, THORACIC REGION","COLLAPSED VERTEBRA IN DISEASES CLASSIFIED ELSEWHERE, THORACIC REGION",5
M4955,"COLLAPSED VERTEBRA IN DISEASES CLASSIFIED ELSEWHERE, THORACOLUMBAR REGION","COLLAPSED VERTEBRA IN DISEASES CLASSIFIED ELSEWHERE, THORACOLUMBAR REGION",5
M4956,"COLLAPSED VERTEBRA IN DISEASES CLASSIFIED ELSEWHERE, LUMBAR REGION","COLLAPSED VERTEBRA IN DISEASES CLASSIFIED ELSEWHERE, LUMBAR REGION",5
M4957,"COLLAPSED VERTEBRA IN DISEASES CLASSIFIED ELSEWHERE, LUMBOSACRAL REGION","COLLAPSED VERTEBRA IN DISEASES CLASSIFIED ELSEWHERE, LUMBOSACRAL REGION",5
M4958,"COLLAPSED VERTEBRA IN DISEASES CLASS EWHERE, SACRAL + SACROCOCCYGEAL REG","COLLAPSED VERTEBRA IN DISEASES CLASS EWHERE, SACRAL + SACROCOCCYGEAL REG",5
M4959,"COLLAPSED VERTEBRA IN DISEASES CLASSIFIED ELSEWHERE, SITE UNSPECIFIED","COLLAPSED VERTEBRA IN DISEASES CLASSIFIED ELSEWHERE, SITE UNSPECIFIED",5
M498,SPONDYLOPATHY IN OTHER DISEASES CLASSIFIED ELSEWHERE,SPONDYLOPATHY IN OTHER DISEASES CLASSIFIED ELSEWHERE,4
M4980,"SPONDYLOPATHY IN OTHER DISEASE CLASSIFIED EWHERE, MULTIPLE SITES IN SPINE","SPONDYLOPATHY IN OTHER DISEASE CLASSIFIED EWHERE, MULTIPLE SITES IN SPINE",5
